SupplierName,SupplierTransactionID,SupplierID,PurchaseOrderID,SupplierInvoiceNumber,TransactionDate,AmountExcludingTax,TaxAmount,FinalizationDate
"Fabrikam, Inc.",1873,4,26,2648,1/8/2013,1436,215.4,1/14/2013
Graphic Design Institute,1880,5,27,7934,1/8/2013,832.5,124.89,1/14/2013
"Litware, Inc.",1882,7,28,359,1/8/2013,2380,357,1/14/2013
Northwind Electric Cars,1884,10,29,7757,1/8/2013,1037.5,155.63,1/14/2013
The Phone Company,1887,12,30,6742,1/8/2013,2376,356.4,1/14/2013
"Litware, Inc.",2087,7,31,2794,1/9/2013,10940,1641,1/14/2013
"Fabrikam, Inc.",2351,4,32,2279,1/10/2013,168,25.2,1/14/2013
Graphic Design Institute,2353,5,33,5876,1/10/2013,126,18.9,1/14/2013
"Litware, Inc.",2356,7,34,1910,1/10/2013,10600,1590,1/14/2013
Northwind Electric Cars,2358,10,35,5538,1/10/2013,8525,1278.75,1/14/2013
"Fabrikam, Inc.",2719,4,36,1677,1/11/2013,1242,186.3,1/14/2013
Graphic Design Institute,2721,5,37,8004,1/11/2013,144,21.6,1/14/2013
"Litware, Inc.",2723,7,38,9443,1/11/2013,510,76.5,1/14/2013
"Fabrikam, Inc.",3236,4,39,1097,1/14/2013,2646,396.9,1/14/2013
Graphic Design Institute,3241,5,40,691,1/14/2013,553.5,83.03,1/14/2013
"Fabrikam, Inc.",3244,4,41,5086,1/14/2013,1110,166.5,1/14/2013
"Litware, Inc.",3246,7,42,4017,1/14/2013,1530,229.5,1/14/2013
"Fabrikam, Inc.",3574,4,43,9295,1/15/2013,3648,547.2,1/21/2013
Graphic Design Institute,3576,5,44,3601,1/15/2013,148.5,22.28,1/21/2013
"Litware, Inc.",3578,7,45,1718,1/15/2013,170,25.5,1/21/2013
Northwind Electric Cars,3580,10,46,2921,1/15/2013,1150,172.5,1/21/2013
"Fabrikam, Inc.",4017,4,47,9303,1/16/2013,7494,1124.1,1/21/2013
Graphic Design Institute,4020,5,48,1850,1/16/2013,297,44.56,1/21/2013
Northwind Electric Cars,4022,10,49,5212,1/16/2013,1364,204.6,1/21/2013
"Fabrikam, Inc.",4221,4,50,3650,1/17/2013,6162,924.3,1/21/2013
"Fabrikam, Inc.",4467,4,51,2677,1/18/2013,7590,1138.5,1/21/2013
"Fabrikam, Inc.",4978,4,52,7211,1/21/2013,9702,1455.3,1/21/2013
Graphic Design Institute,4980,5,53,2427,1/21/2013,144,21.6,1/21/2013
"Fabrikam, Inc.",4982,4,54,2363,1/21/2013,756,113.4,1/21/2013
Graphic Design Institute,4984,5,55,9348,1/21/2013,139.5,20.93,1/21/2013
"Fabrikam, Inc.",5163,4,56,4752,1/22/2013,8382,1257.3,1/28/2013
"Fabrikam, Inc.",5379,4,57,1044,1/23/2013,8850,1327.5,1/28/2013
"Fabrikam, Inc.",5695,4,58,13,1/24/2013,11514,1727.1,1/28/2013
"Fabrikam, Inc.",5892,4,59,1165,1/25/2013,14358,2153.7,1/28/2013
"Fabrikam, Inc.",6448,4,60,5931,1/28/2013,14358,2153.7,1/28/2013
"Fabrikam, Inc.",6452,4,61,8510,1/28/2013,2448,367.2,1/28/2013
Northwind Electric Cars,6454,10,62,4482,1/28/2013,8815,1322.25,1/28/2013
"Fabrikam, Inc.",6738,4,63,5200,1/29/2013,16410,2461.5,2/4/2013
"Litware, Inc.",6740,7,64,2590,1/29/2013,1020,153,2/4/2013
"Fabrikam, Inc.",7129,4,65,7448,1/30/2013,19830,2974.5,2/4/2013
"Litware, Inc.",7131,7,66,7195,1/30/2013,340,51,2/4/2013
"Fabrikam, Inc.",7503,4,67,582,1/31/2013,20514,3077.1,2/4/2013
"Fabrikam, Inc.",7836,4,68,9112,2/1/2013,22434,3365.1,2/4/2013
"Fabrikam, Inc.",8357,4,69,6311,2/4/2013,25014,3752.1,2/4/2013
"Fabrikam, Inc.",8362,4,70,3585,2/4/2013,2244,336.6,2/4/2013
"Fabrikam, Inc.",8623,4,71,7488,2/5/2013,26550,3982.5,2/11/2013
"Fabrikam, Inc.",8814,4,72,4979,2/6/2013,26790,4018.5,2/11/2013
"Fabrikam, Inc.",9009,4,73,2141,2/7/2013,26826,4023.9,2/11/2013
"Fabrikam, Inc.",9181,4,74,9898,2/8/2013,26310,3946.5,2/11/2013
"Fabrikam, Inc.",9699,4,75,496,2/11/2013,26022,3903.3,2/11/2013
"Fabrikam, Inc.",9703,4,76,8384,2/11/2013,3804,570.6,2/11/2013
"Fabrikam, Inc.",10029,4,77,2733,2/12/2013,29970,4495.5,2/18/2013
"Fabrikam, Inc.",10193,4,78,4085,2/13/2013,31302,4695.3,2/18/2013
"Fabrikam, Inc.",10370,4,79,4936,2/14/2013,33042,4956.3,2/18/2013
"Litware, Inc.",10372,7,80,3363,2/14/2013,1190,178.5,2/18/2013
"Fabrikam, Inc.",10634,4,81,7232,2/15/2013,36678,5501.7,2/18/2013
"Litware, Inc.",10636,7,82,6588,2/15/2013,2040,306,2/18/2013
"Fabrikam, Inc.",11047,4,83,3866,2/18/2013,36066,5409.9,2/18/2013
"Litware, Inc.",11049,7,84,1117,2/18/2013,1360,204,2/18/2013
"Fabrikam, Inc.",11053,4,85,6329,2/18/2013,1440,216,2/18/2013
"Fabrikam, Inc.",11269,4,86,3252,2/19/2013,37590,5638.5,2/25/2013
"Litware, Inc.",11271,7,87,5623,2/19/2013,2210,331.5,2/25/2013
"Fabrikam, Inc.",11524,4,88,8265,2/20/2013,37602,5640.3,2/25/2013
"Litware, Inc.",11526,7,89,1892,2/20/2013,2550,382.5,2/25/2013
"Fabrikam, Inc.",11819,4,90,3951,2/21/2013,38868,5830.2,2/25/2013
"Litware, Inc.",11821,7,91,9767,2/21/2013,3230,484.5,2/25/2013
"Fabrikam, Inc.",12008,4,92,5049,2/22/2013,37452,5617.8,2/25/2013
"Litware, Inc.",12010,7,93,6105,2/22/2013,2550,382.5,2/25/2013
"Fabrikam, Inc.",12440,4,94,8331,2/25/2013,37212,5581.8,2/25/2013
"Litware, Inc.",12442,7,95,9031,2/25/2013,4080,612,2/25/2013
"Fabrikam, Inc.",12446,4,96,149,2/25/2013,2052,307.8,2/25/2013
"Litware, Inc.",12448,7,97,6779,2/25/2013,1700,255,2/25/2013
"Fabrikam, Inc.",12611,4,98,8792,2/26/2013,36432,5464.8,3/4/2013
"Litware, Inc.",12613,7,99,1663,2/26/2013,4420,663,3/4/2013
"Fabrikam, Inc.",12881,4,100,5762,2/27/2013,36552,5482.8,3/4/2013
"Litware, Inc.",12883,7,101,2466,2/27/2013,3740,561,3/4/2013
"Fabrikam, Inc.",13077,4,102,8862,2/28/2013,36000,5400,3/4/2013
"Litware, Inc.",13079,7,103,4111,2/28/2013,4420,663,3/4/2013
"Fabrikam, Inc.",13277,4,104,6083,3/1/2013,36324,5448.6,3/4/2013
"Litware, Inc.",13279,7,105,9846,3/1/2013,3740,561,3/4/2013
"Fabrikam, Inc.",13834,4,106,845,3/4/2013,38472,5770.8,3/4/2013
"Litware, Inc.",13836,7,107,9908,3/4/2013,3910,586.5,3/4/2013
"Fabrikam, Inc.",13842,4,108,6244,3/4/2013,2664,399.6,3/4/2013
"Fabrikam, Inc.",14211,4,109,2164,3/5/2013,43866,6579.9,3/11/2013
"Litware, Inc.",14213,7,110,3906,3/5/2013,4760,714,3/11/2013
"Fabrikam, Inc.",14459,4,111,6582,3/6/2013,43848,6577.2,3/11/2013
"Litware, Inc.",14461,7,112,5501,3/6/2013,4080,612,3/11/2013
"Fabrikam, Inc.",14878,4,113,8640,3/7/2013,43740,6561,3/11/2013
"Litware, Inc.",14880,7,114,2764,3/7/2013,4760,714,3/11/2013
"Fabrikam, Inc.",15277,4,115,635,3/8/2013,46392,6958.8,3/11/2013
"Litware, Inc.",15279,7,116,10,3/8/2013,4930,739.5,3/11/2013
"Fabrikam, Inc.",15861,4,117,3769,3/11/2013,45744,6861.6,3/11/2013
"Litware, Inc.",15863,7,118,9407,3/11/2013,5440,816,3/11/2013
"Fabrikam, Inc.",15865,4,119,3489,3/11/2013,672,100.8,3/11/2013
"Fabrikam, Inc.",16202,4,120,1393,3/12/2013,47754,7163.1,3/18/2013
"Litware, Inc.",16204,7,121,8136,3/12/2013,5440,816,3/18/2013
"Fabrikam, Inc.",16596,4,122,2145,3/13/2013,49662,7449.3,3/18/2013
"Litware, Inc.",16598,7,123,3431,3/13/2013,4760,714,3/18/2013
"Fabrikam, Inc.",16891,4,124,1725,3/14/2013,49566,7434.9,3/18/2013
"Litware, Inc.",16893,7,125,796,3/14/2013,6630,994.5,3/18/2013
"Fabrikam, Inc.",17288,4,126,5081,3/15/2013,54282,8142.3,3/18/2013
"Litware, Inc.",17290,7,127,1536,3/15/2013,5950,892.5,3/18/2013
"Fabrikam, Inc.",17848,4,128,3465,3/18/2013,56208,8431.2,3/18/2013
"Litware, Inc.",17851,7,129,6381,3/18/2013,5346.8,802.02,3/18/2013
"Fabrikam, Inc.",17857,4,130,595,3/18/2013,4524,678.6,3/18/2013
"Fabrikam, Inc.",18039,4,131,5638,3/19/2013,59790,8968.5,3/25/2013
"Litware, Inc.",18041,7,132,4145,3/19/2013,5100,765,3/25/2013
"Fabrikam, Inc.",18427,4,133,184,3/20/2013,62742,9411.3,3/25/2013
"Litware, Inc.",18430,7,134,1351,3/20/2013,5259.2,788.88,3/25/2013
"Fabrikam, Inc.",18797,4,135,8521,3/21/2013,64620,9693,3/25/2013
"Litware, Inc.",18800,7,136,6501,3/21/2013,4809.6,721.44,3/25/2013
"Fabrikam, Inc.",19195,4,137,6090,3/22/2013,67464,10119.6,3/25/2013
"Litware, Inc.",19198,7,138,7535,3/22/2013,7765.6,1164.84,3/25/2013
"Fabrikam, Inc.",19667,4,139,4037,3/25/2013,70686,10602.9,3/25/2013
"Litware, Inc.",19670,7,140,368,3/25/2013,7650.4,1147.56,3/25/2013
"Litware, Inc.",19672,7,141,7669,3/25/2013,170,25.5,3/25/2013
"Fabrikam, Inc.",19972,4,142,1256,3/26/2013,70542,10581.3,4/1/2013
"Litware, Inc.",19975,7,143,1641,3/26/2013,7590,1138.5,4/1/2013
"Fabrikam, Inc.",20181,4,144,9638,3/27/2013,70890,10633.5,4/1/2013
"Litware, Inc.",20184,7,145,2264,3/27/2013,7063.6,1059.54,4/1/2013
"Fabrikam, Inc.",20583,4,146,3934,3/28/2013,71202,10680.3,4/1/2013
"Litware, Inc.",20586,7,147,7287,3/28/2013,8522.4,1278.36,4/1/2013
"Fabrikam, Inc.",20767,4,148,8477,3/29/2013,71046,10656.9,4/1/2013
"Litware, Inc.",20770,7,149,2327,3/29/2013,7688.8,1153.32,4/1/2013
"Fabrikam, Inc.",21065,4,150,4803,4/1/2013,69630,10444.5,4/1/2013
"Litware, Inc.",21068,7,151,4468,4/1/2013,8599.2,1289.88,4/1/2013
"Fabrikam, Inc.",21073,4,152,6299,4/1/2013,2952,442.8,4/1/2013
"Fabrikam, Inc.",21470,4,153,8940,4/2/2013,72426,10863.9,4/8/2013
"Litware, Inc.",21473,7,154,3874,4/2/2013,9986.8,1498.02,4/8/2013
"Fabrikam, Inc.",21757,4,155,873,4/3/2013,73110,10966.5,4/8/2013
"Litware, Inc.",21760,7,156,7948,4/3/2013,10387.2,1558.08,4/8/2013
"Fabrikam, Inc.",22020,4,157,4746,4/4/2013,74460,11169,4/8/2013
"Litware, Inc.",22023,7,158,1433,4/4/2013,10409.2,1561.38,4/8/2013
"Fabrikam, Inc.",22409,4,159,9995,4/5/2013,76524,11478.6,4/8/2013
"Litware, Inc.",22412,7,160,2430,4/5/2013,11072.8,1660.92,4/8/2013
"Fabrikam, Inc.",22931,4,161,5240,4/8/2013,79524,11928.6,4/8/2013
"Litware, Inc.",22934,7,162,1691,4/8/2013,12109.2,1816.38,4/8/2013
"Fabrikam, Inc.",22937,4,163,743,4/8/2013,912,136.8,4/8/2013
"Litware, Inc.",22939,7,164,4720,4/8/2013,1020,153,4/8/2013
"Fabrikam, Inc.",23163,4,165,4497,4/9/2013,81786,12267.9,4/15/2013
"Litware, Inc.",23166,7,166,9679,4/9/2013,11462,1719.3,4/15/2013
"Fabrikam, Inc.",23387,4,167,4944,4/10/2013,84084,12612.6,4/15/2013
"Litware, Inc.",23390,7,168,4933,4/10/2013,12158.4,1823.76,4/15/2013
"Fabrikam, Inc.",23762,4,169,8141,4/11/2013,85044,12756.6,4/15/2013
"Litware, Inc.",23765,7,170,3324,4/11/2013,11401.6,1710.24,4/15/2013
"Fabrikam, Inc.",24004,4,171,3702,4/12/2013,85158,12773.7,4/15/2013
"Litware, Inc.",24007,7,172,9637,4/12/2013,12312,1846.8,4/15/2013
"Fabrikam, Inc.",24569,4,173,8900,4/15/2013,88590,13288.5,4/15/2013
"Litware, Inc.",24572,7,174,8016,4/15/2013,11785.6,1767.84,4/15/2013
"Fabrikam, Inc.",24577,4,175,747,4/15/2013,2208,331.2,4/15/2013
"Fabrikam, Inc.",24757,4,176,6077,4/16/2013,90474,13571.1,4/22/2013
"Litware, Inc.",24760,7,177,6300,4/16/2013,10535.2,1580.28,4/22/2013
"Fabrikam, Inc.",25137,4,178,8267,4/17/2013,95376,14306.4,4/22/2013
"Litware, Inc.",25140,7,179,2075,4/17/2013,11423.6,1713.54,4/22/2013
"Fabrikam, Inc.",25546,4,180,7636,4/18/2013,96600,14490,4/22/2013
"Litware, Inc.",25549,7,181,3990,4/18/2013,12125.6,1818.84,4/22/2013
"Fabrikam, Inc.",25832,4,182,4990,4/19/2013,100938,15140.7,4/22/2013
"Litware, Inc.",25835,7,183,8389,4/19/2013,12822,1923.3,4/22/2013
"Fabrikam, Inc.",26440,4,184,4873,4/22/2013,102750,15412.5,4/22/2013
"Litware, Inc.",26443,7,185,1489,4/22/2013,13036,1955.4,4/22/2013
"Fabrikam, Inc.",26446,4,186,3690,4/22/2013,1068,160.2,4/22/2013
"Litware, Inc.",26448,7,187,5492,4/22/2013,192,28.8,4/22/2013
"Fabrikam, Inc.",26768,4,188,3922,4/23/2013,107706,16155.9,4/29/2013
"Litware, Inc.",26771,7,189,3910,4/23/2013,14292,2143.8,4/29/2013
"Fabrikam, Inc.",27126,4,190,9120,4/24/2013,110748,16612.2,4/29/2013
"Litware, Inc.",27129,7,191,976,4/24/2013,13458.4,2018.76,4/29/2013
"Fabrikam, Inc.",27388,4,192,659,4/25/2013,111144,16671.6,4/29/2013
"Litware, Inc.",27391,7,193,8800,4/25/2013,13590,2038.5,4/29/2013
"Fabrikam, Inc.",27568,4,194,8949,4/26/2013,110904,16635.6,4/29/2013
"Litware, Inc.",27571,7,195,5995,4/26/2013,13140.4,1971.06,4/29/2013
"Fabrikam, Inc.",28130,4,196,547,4/29/2013,110856,16628.4,4/29/2013
"Litware, Inc.",28133,7,197,2409,4/29/2013,12460.4,1869.06,4/29/2013
"Fabrikam, Inc.",28137,4,198,4447,4/29/2013,1728,259.2,4/29/2013
"Litware, Inc.",28139,7,199,6850,4/29/2013,537.6,80.64,4/29/2013
"Fabrikam, Inc.",28380,4,200,9440,4/30/2013,110700,16605,5/6/2013
"Litware, Inc.",28383,7,201,2954,4/30/2013,12098.8,1814.82,5/6/2013
"Fabrikam, Inc.",28756,4,202,2457,5/1/2013,110394,16559.1,5/6/2013
"Litware, Inc.",28759,7,203,3772,5/1/2013,11588.8,1738.32,5/6/2013
"Fabrikam, Inc.",29022,4,204,5559,5/2/2013,114690,17203.5,5/6/2013
"Litware, Inc.",29025,7,205,7053,5/2/2013,11709.6,1756.44,5/6/2013
"Fabrikam, Inc.",29401,4,206,930,5/3/2013,117900,17685,5/6/2013
"Litware, Inc.",29404,7,207,4440,5/3/2013,11770,1765.5,5/6/2013
"Fabrikam, Inc.",29889,4,208,2134,5/6/2013,120684,18102.6,5/6/2013
"Litware, Inc.",29892,7,209,1072,5/6/2013,12466.4,1869.96,5/6/2013
"Fabrikam, Inc.",29895,4,210,1817,5/6/2013,924,138.6,5/6/2013
"Fabrikam, Inc.",30303,4,211,9385,5/7/2013,123762,18564.3,5/13/2013
"Litware, Inc.",30306,7,212,2002,5/7/2013,11484.8,1722.72,5/13/2013
"Fabrikam, Inc.",30585,4,213,7488,5/8/2013,124008,18601.2,5/13/2013
"Litware, Inc.",30588,7,214,7275,5/8/2013,10651.2,1597.68,5/13/2013
"Fabrikam, Inc.",30978,4,215,7864,5/9/2013,130854,19628.1,5/13/2013
"Litware, Inc.",30981,7,216,6873,5/9/2013,10667.6,1600.14,5/13/2013
"Fabrikam, Inc.",31394,4,217,151,5/10/2013,133044,19956.6,5/13/2013
"Litware, Inc.",31397,7,218,7601,5/10/2013,13826.4,2073.96,5/13/2013
"Fabrikam, Inc.",31821,4,219,5932,5/13/2013,134700,20205,5/13/2013
"Litware, Inc.",31824,7,220,778,5/13/2013,14884.8,2232.72,5/13/2013
"Fabrikam, Inc.",31827,4,221,5982,5/13/2013,1044,156.6,5/13/2013
"Fabrikam, Inc.",32187,4,222,8770,5/14/2013,134748,20212.2,5/20/2013
"Litware, Inc.",32190,7,223,9702,5/14/2013,13826.4,2073.96,5/20/2013
"Fabrikam, Inc.",32573,4,224,6479,5/15/2013,137250,20587.5,5/20/2013
"Litware, Inc.",32576,7,225,1688,5/15/2013,13300,1995,5/20/2013
"Fabrikam, Inc.",32846,4,226,798,5/16/2013,137862,20679.3,5/20/2013
"Litware, Inc.",32849,7,227,8092,5/16/2013,14374.8,2156.22,5/20/2013
"Fabrikam, Inc.",33115,4,228,3528,5/17/2013,138270,20740.5,5/20/2013
"Litware, Inc.",33118,7,229,761,5/17/2013,13541.2,2031.18,5/20/2013
"Fabrikam, Inc.",33619,4,230,9627,5/20/2013,140022,21003.3,5/20/2013
"Litware, Inc.",33622,7,231,3445,5/20/2013,15800.8,2370.12,5/20/2013
"Fabrikam, Inc.",33626,4,232,6485,5/20/2013,1728,259.2,5/20/2013
"Litware, Inc.",33628,7,233,8560,5/20/2013,170,25.5,5/20/2013
"Fabrikam, Inc.",33994,4,234,5686,5/21/2013,142206,21330.9,5/27/2013
"Litware, Inc.",33997,7,235,9326,5/21/2013,17089.6,2563.44,5/27/2013
"Fabrikam, Inc.",34272,4,236,53,5/22/2013,143814,21572.1,5/27/2013
"Litware, Inc.",34275,7,237,5254,5/22/2013,16256,2438.4,5/27/2013
"Fabrikam, Inc.",34506,4,238,7709,5/23/2013,145344,21801.6,5/27/2013
"Litware, Inc.",34509,7,239,6529,5/23/2013,15499.2,2324.88,5/27/2013
"Fabrikam, Inc.",34842,4,240,464,5/24/2013,146220,21933,5/27/2013
"Litware, Inc.",34845,7,241,5001,5/24/2013,14972.8,2245.92,5/27/2013
"Fabrikam, Inc.",35266,4,242,3253,5/27/2013,150252,22537.8,5/27/2013
"Litware, Inc.",35270,7,243,1920,5/27/2013,15473.2,2320.98,5/27/2013
"Fabrikam, Inc.",35272,4,244,9204,5/27/2013,96,14.4,5/27/2013
"Litware, Inc.",35274,7,245,154,5/27/2013,499.2,74.88,5/27/2013
"Fabrikam, Inc.",35599,4,246,96,5/28/2013,151128,22669.2,6/3/2013
"Litware, Inc.",35602,7,247,566,5/28/2013,14671.2,2200.68,6/3/2013
"Fabrikam, Inc.",36009,4,248,1610,5/29/2013,155178,23276.7,6/3/2013
"Litware, Inc.",36012,7,249,2254,5/29/2013,15998.4,2399.76,6/3/2013
"Fabrikam, Inc.",36212,4,250,8195,5/30/2013,156474,23471.1,6/3/2013
"Litware, Inc.",36215,7,251,1193,5/30/2013,15318.4,2297.76,6/3/2013
"Fabrikam, Inc.",36611,4,252,4470,5/31/2013,161358,24203.7,6/3/2013
"Litware, Inc.",36614,7,253,850,5/31/2013,16014.8,2402.22,6/3/2013
"Fabrikam, Inc.",37110,4,254,4334,6/3/2013,163950,24592.5,6/3/2013
"Litware, Inc.",37113,7,255,3510,6/3/2013,19091.2,2863.68,6/3/2013
"Fabrikam, Inc.",37116,4,256,3175,6/3/2013,1830,274.5,6/3/2013
"Fabrikam, Inc.",37486,4,257,710,6/4/2013,168192,25228.8,6/10/2013
"Litware, Inc.",37490,7,258,3924,6/4/2013,18695.2,2804.28,6/10/2013
"Fabrikam, Inc.",37804,4,259,6351,6/5/2013,170472,25570.8,6/10/2013
"Litware, Inc.",37808,7,260,5534,6/5/2013,17645.6,2646.84,6/10/2013
"Fabrikam, Inc.",38213,4,261,1025,6/6/2013,172620,25893,6/10/2013
"Litware, Inc.",38217,7,262,6168,6/6/2013,17229.6,2584.44,6/10/2013
"Fabrikam, Inc.",38610,4,263,9169,6/7/2013,175206,26280.9,6/10/2013
"Litware, Inc.",38614,7,264,217,6/7/2013,17770.4,2665.56,6/10/2013
"Fabrikam, Inc.",39143,4,265,6350,6/10/2013,176988,26548.2,6/10/2013
"Litware, Inc.",39146,7,266,2324,6/10/2013,17983.6,2697.54,6/10/2013
"Fabrikam, Inc.",39150,4,267,7103,6/10/2013,1854,278.1,6/10/2013
"Litware, Inc.",39152,7,268,7799,6/10/2013,307.2,46.08,6/10/2013
"Fabrikam, Inc.",39498,4,269,6820,6/11/2013,180738,27110.7,6/17/2013
"Litware, Inc.",39501,7,270,4414,6/11/2013,16793.6,2519.04,6/17/2013
"Fabrikam, Inc.",39804,4,271,9442,6/12/2013,182436,27365.4,6/17/2013
"Litware, Inc.",39807,7,272,332,6/12/2013,15960,2394,6/17/2013
"Fabrikam, Inc.",40036,4,273,9377,6/13/2013,181566,27234.9,6/17/2013
"Litware, Inc.",40039,7,274,4327,6/13/2013,15203.2,2280.48,6/17/2013
"Fabrikam, Inc.",40335,4,275,6025,6/14/2013,181536,27230.4,6/17/2013
"Litware, Inc.",40338,7,276,7611,6/14/2013,15389.6,2308.44,6/17/2013
"Fabrikam, Inc.",40842,4,277,1930,6/17/2013,183660,27549,6/17/2013
"Litware, Inc.",40845,7,278,6244,6/17/2013,14940,2241,6/17/2013
"Fabrikam, Inc.",40847,4,279,2277,6/17/2013,336,50.4,6/17/2013
"Litware, Inc.",40849,7,280,9706,6/17/2013,115.2,17.28,6/17/2013
"Fabrikam, Inc.",41030,4,281,579,6/18/2013,182280,27342,6/24/2013
"Litware, Inc.",41033,7,282,3262,6/18/2013,14238,2135.7,6/24/2013
"Fabrikam, Inc.",41383,4,283,2711,6/19/2013,182940,27441,6/24/2013
"Litware, Inc.",41386,7,284,2555,6/19/2013,13750,2062.5,6/24/2013
"Fabrikam, Inc.",41821,4,285,2486,6/20/2013,184860,27729,6/24/2013
"Litware, Inc.",41824,7,286,5056,6/20/2013,12916.4,1937.46,6/24/2013
"Fabrikam, Inc.",42225,4,287,6197,6/21/2013,184296,27644.4,6/24/2013
"Litware, Inc.",42228,7,288,3866,6/21/2013,12592.8,1888.92,6/24/2013
"Fabrikam, Inc.",42732,4,289,4843,6/24/2013,186072,27910.8,6/24/2013
"Litware, Inc.",42735,7,290,2466,6/24/2013,12198,1829.7,6/24/2013
"Fabrikam, Inc.",42741,4,291,9559,6/24/2013,2460,369,6/24/2013
"Litware, Inc.",42743,7,292,7739,6/24/2013,153.6,23.04,6/24/2013
"Fabrikam, Inc.",43001,4,293,6628,6/25/2013,190116,28517.4,7/1/2013
"Litware, Inc.",43004,7,294,8524,6/25/2013,11194.4,1679.16,7/1/2013
"Fabrikam, Inc.",43429,4,295,2527,6/26/2013,193920,29088,7/1/2013
"Litware, Inc.",43432,7,296,475,6/26/2013,12230.8,1834.62,7/1/2013
"Fabrikam, Inc.",43705,4,297,5839,6/27/2013,194076,29111.4,7/1/2013
"Litware, Inc.",43708,7,298,4058,6/27/2013,11397.2,1709.58,7/1/2013
"Fabrikam, Inc.",44068,4,299,3268,6/28/2013,196278,29441.7,7/1/2013
"Litware, Inc.",44071,7,300,9756,6/28/2013,14024,2103.6,7/1/2013
"Fabrikam, Inc.",44740,4,301,1903,7/1/2013,199206,29880.9,7/1/2013
"Litware, Inc.",44743,7,302,5063,7/1/2013,13228.8,1984.32,7/1/2013
"Fabrikam, Inc.",44747,4,303,1456,7/1/2013,2514,377.1,7/1/2013
"Litware, Inc.",44750,7,304,8085,7/1/2013,472.8,70.92,7/1/2013
"Fabrikam, Inc.",45158,4,305,5066,7/2/2013,201642,30246.3,7/8/2013
"Litware, Inc.",45161,7,306,5435,7/2/2013,12998.4,1949.76,7/8/2013
"Fabrikam, Inc.",45516,4,307,1139,7/3/2013,203400,30510,7/8/2013
"Litware, Inc.",45519,7,308,3567,7/3/2013,15471.6,2320.74,7/8/2013
"Fabrikam, Inc.",45824,4,309,5394,7/4/2013,205944,30891.6,7/8/2013
"Litware, Inc.",45827,7,310,447,7/4/2013,14983.6,2247.54,7/8/2013
"Fabrikam, Inc.",46181,4,311,1036,7/5/2013,207408,31111.2,7/8/2013
"Litware, Inc.",46185,7,312,8803,7/5/2013,14522,2178.3,7/8/2013
"Fabrikam, Inc.",46696,4,313,9360,7/8/2013,207960,31194,7/8/2013
"Litware, Inc.",46699,7,314,5197,7/8/2013,13508.4,2026.26,7/8/2013
"Fabrikam, Inc.",46703,4,315,4359,7/8/2013,1326,198.9,7/8/2013
"Litware, Inc.",46706,7,316,5019,7/8/2013,412.8,61.92,7/8/2013
"Fabrikam, Inc.",46959,4,317,3817,7/9/2013,207858,31178.7,7/15/2013
"Litware, Inc.",46962,7,318,3208,7/9/2013,14643.6,2196.54,7/15/2013
"Fabrikam, Inc.",47375,4,319,6286,7/10/2013,207702,31155.3,7/15/2013
"Litware, Inc.",47378,7,320,9861,7/10/2013,15850,2377.5,7/15/2013
